code readability github complete
#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability,Readability Category
436,8,0.44,2.2,78,Good,26.19,1
17,5.83,0.4411511864801430,4,95,Medium,35.72,1
187,0.77,0.44166666666666700,1.25,102,Medium,33.48,0
251,0,0.4419667047556150,1.2857142857142900,109,Good,29.5,1
305,6.48,0.4427499622488630,25.4,220,Medium,34.16,3
69,3.8,0.445564959,2.8095238095238100,185,Medium,31.65,3
162,8,0.44733333333333300,2,240,Medium,30.94,4
403,8.05,0.4473484848484850,1.7241379310344800,194,Medium,30.27,4
8,8.51,0.44913857583746800,7,108,Medium,30.66,1
226,0,0.4523778805420510,6,237,Medium,32.2,2
11,6.53,0.4525033989522070,2.3636363636363600,89,Medium,43,2
394,5.69,0.45481481481481500,2.5625,122,Medium,40.98,2
45,0,0.4579843827896870,2.142857142857140,167,Medium,28.96,1
408,0,0.4604166666666670,3.5384615384615400,112,Medium,28.5,4
451,2.38,0.46100140229851300,1,85,Good,28.43,3
290,4.64,0.46107693154980200,2,262,Bad,29.93,2
368,1.03,0.4614918955243550,2,79,Medium,30.12,2
443,4.18,0.4634615384615390,3.5,101,Bad,25.52,4
326,7.33,0.46613503534096000,1.6875,115,Medium,29.82,0
435,5.2,0.4709803921568630,1.575,147,Medium,40.63,1
370,8.2,0.4711284932046520,2.7043478260869600,118,Medium,41.91,3
67,9.03,0.47248892781153200,3.736842105263160,94,Medium,42.94,4
228,5,0.47273637188805500,1,67,Medium,28.02,1
15,0.42,0.4757780365888010,9.4,119,Medium,29.46,2
420,8.43,0.47631578947368400,2.1818181818181800,100,Medium,31.3,4
244,4.02,0.4764813648928790,3.2142857142857100,90,Medium,44.53,2
201,7.86,0.47833333333333300,10.333333333333300,182,Good,38.71,3
37,5.23,0.4791484890381500,0,120,Medium,33.63,1
321,0,0.4813570462208690,1.5121951219512200,175,Medium,45.45,4
404,4.62,0.4823180923174400,2.272727272727270,79,Medium,41.68,3
294,5,0.48444444444444400,2.25,88,Medium,30.29,3
72,7.67,0.48449492129504300,4.074074074074070,85,Medium,33.04,3
255,5,0.4846153846153850,3,82,Medium,30.36,2
55,5,0.48782655091158000,9,115,Medium,30.51,2
310,7.3,0.4880952380952380,2.5,124,Medium,28.91,1
396,0,0.4886109429674270,1.4,101,Good,30.09,4
150,0,0.48921568627451000,2,66,Medium,29.26,0
398,1.94,0.49,1.6153846153846200,81,Very Bad,26.78,4
167,0,0.49119185681144400,1,78,Very Bad,22.07,4
419,7.12,0.4922619047619050,2.1666666666666700,80,Medium,29,3
410,0,0.4930555555555560,1.6,1828,Medium,82.02,0
411,5.8,0.4931089743589740,1.9206349206349200,101,Medium,33.66,2
79,0,0.4933661776234790,8.461538461538460,228,Medium,30.2,3
299,7.91,0.49364878170046200,8,80,Bad,23.74,4
173,0,0.4951425355672840,5.5,127,Good,35.07,3
499,0.26,0.49541087592793600,2,130,Medium,32.38,0
387,6.71,0.49632491713973000,4.2,92,Medium,31.01,1
33,5.36,0.49818181818181800,0,132,Good,26.6,4
83,6.94,0.49837547026058600,2.25,96,Medium,28.61,2
379,3.75,0.4986111111111110,2.6,116,Good,33.32,1
249,5.55,0.4989130434782610,2.3333333333333300,253,Good,43.44,2
126,?,0.5,11,80,Medium,30.28,0
281,8.42,0.5,1.75,88,Medium,32.58,4
438,1.6,0.5,2.25,109,Medium,32.97,3
243,7.84,0.5009803921568630,2,120,Medium,31.35,3
222,8.38,0.5011111111111110,2.4166666666666700,118,Medium,34.55,4
213,0,0.5018518518518520,5,105,Medium,37.43,0
483,5.58,0.5028169014084510,2.3636363636363600,120,Medium,38.08,4
217,0,0.5055555555555560,2,93,Medium,30.37,4
27,5.76,0.5055555555555560,2,97,Good,39.02,2
197,3.79,0.5084221476214190,1,109,Good,45.02,4
208,6.1,0.509090909,2.4285714285714300,107,Very Bad,27.37,4
218,0,0.5120940274802880,4.181818181818180,101,Medium,36.93,0
153,8.16,0.5122957533359660,3.625,96,Medium,39.08,4
482,0,0.5141681519614180,6.375,256,Medium,29.92,4
245,0,0.5156925110629310,2.7142857142857100,98,Medium,29.47,0
366,5.27,0.520125786,1.3055555555555600,113,Medium,28.7,1
142,6.89,0.5205128205128210,5,98,Medium,31.4,1
433,0,0.5223590675801840,6.833333333333330,99,Good,28.65,3
6,0,0.525,0,81,Medium,24.78,4
52,4.67,0.5255555555555560,1.8333333333333300,80,Medium,27.55,3
278,0,0.5260225231207360,1.6666666666666700,97,Medium,34.58,1
480,7.05,0.528125,3,119,Good,30.06,0
430,6.76,0.528921569,2.9411764705882400,114,Medium,48.78,4
57,2.5,0.5302083333333330,3,79,Medium,32.99,3
444,2.76,0.5313131313131310,1.6111111111111100,80,Medium,27.7,4
141,0,0.5317374808319880,1.6,86,Medium,32.26,1
181,1.83,0.5318657930919730,3.7142857142857100,139,Medium,34.33,4
402,1.46,0.5318745689090490,0,101,Medium,29.65,1
418,0.29,0.5333333333333330,3.3333333333333300,181,Medium,52.49,2
425,3.16,0.5336309523809520,2.9375,131,Medium,31.65,4
146,3.55,0.5350574712643680,8.5,88,Medium,31.93,1
89,6.98,0.5358845260960090,2,114,Medium,32.42,2
454,4.32,0.5365591397849460,1.7407407407407400,150,Medium,31.66,4
253,5.75,0.5384057971014490,2.12,165,Medium,33.06,1
219,2.44,0.538888889,1.2,78,Good,28.1,4
199,4.3,0.53929536,1.1666666666666700,126,Medium,41.87,2
266,0.9,0.5394097222222220,3.4871794871794900,175,Medium,42.16,1
240,3.82,0.5398637752099470,1.894736842105260,89,Medium,31.52,2
417,2.91,0.5403100775193800,2.5,138,Medium,41.62,1
185,1.67,0.5407407407407410,2.3333333333333300,80,Good,27.27,4
447,3.97,0.5410660675702530,1.6,74,Medium,24.56,3
385,2.95,0.5420995670995670,2.1946902654867300,124,Medium,30.9,2
295,0,0.5433333333333330,2.4285714285714300,73,Medium,30.97,2
493,5.6,0.5433333333333330,3.761904761904760,220,Medium,35.94,3
496,5.68,0.5433333333333330,2.5,120,Medium,35.97,2
61,4.24,0.5455555555555560,1,166,Good,28.73,4
152,1.33,0.5462121212121210,0,81,Very Bad,16.35,2
434,5.89,0.5462962962962960,2.2,89,Medium,29.68,4
500,0,0.5477777777777780,0,185,Medium,34.22,1
490,0,0.548015873,2.1333333333333300,124,Medium,32.58,3
158,6.63,0.5492753623188410,3.25,80,Medium,30.45,1
457,4.88,0.5494740876050570,2.125,179,Medium,55.95,2
406,3.83,0.5509803921568630,2,157,Medium,31.37,2
470,2.17,0.5511904761904760,1.25,77,Medium,29.28,1
300,8.25,0.5517543859649120,2.857142857142860,101,Medium,31.74,4
241,0,0.5520833333333330,4.612903225806450,94,Good,29.73,4
194,9.63,0.5525,4,80,Medium,28.81,4
286,7.21,0.5534013605442180,2.5384615384615400,89,Medium,30.31,2
315,0,0.5543478260869570,1,95,Very Bad,23.48,0
1,6.73,0.5547566112130880,2,88,Good,27.02,4
494,3.18,0.556060606,0,89,Very Bad,19.73,4
40,7.05,0.5561939602164700,18,89,Medium,37.99,1
354,0.83,0.5572916666666670,6.666666666666670,88,Medium,32.08,0
234,0,0.5574074074074070,1,159,Medium,32.04,0
384,5,0.5583333333333330,0,92,Medium,29.73,2
239,6.56,0.5583333333333330,4,87,Medium,32.64,4
123,0,0.5583333333333330,0,110,Very Bad,39.56,0
21,0,0.5586013458503690,0,97,Good,27.84,0
377,8,0.558695652,4.9,87,Medium,29.15,2
216,?,0.5595238095238100,2.3333333333333300,93,Medium,38.87,0
440,3.04,0.56,2,95,Good,29.33,4
407,7.74,0.5605263157894740,3,118,Medium,30.35,3
367,3.18,0.5611111111111110,1.5714285714285700,160,Very Bad,37.86,4
147,0.64,0.5616666666666670,1.1578947368421100,128,Medium,32.46,2
337,0.64,0.5616666666666670,1.1578947368421100,128,Medium,32.46,2
463,0,0.5630952380952380,0,78,Medium,28.14,1
259,0,0.5634920634920640,1,92,Medium,32.49,1
306,7.04,0.5638418079096050,3.0476190476190500,116,Medium,36.97,1
5,4.91,0.5640350877192980,32,143,Medium,32.56,3
276,1.92,0.5666666666666670,1.6666666666666700,110,Medium,31.25,0
495,0,0.5666666666666670,0,193,Bad,41.4,0
182,7.86,0.5680555555555560,1.25,97,Very Bad,23.04,2
424,0,0.5685185185185190,2,257,Good,36.18,4
383,7.6,0.569047619,5,98,Good,28.28,2
154,3.33,0.5691256830601090,7.083333333333330,175,Good,32.8,4
189,5.38,0.5696078431372550,10.5,110,Medium,31.58,0
254,5.44,0.5702380952380950,11,150,Medium,30.26,1
175,7.27,0.5706349206349210,0,91,Medium,28.31,3
277,4.81,0.5721721653458150,2,77,Medium,32.83,2
381,0,0.5722222222222220,2,89,Medium,37.9,1
285,0,0.5732142857142860,0,45,Medium,28.51,0
487,4.44,0.5733333333333330,9,118,Good,31.97,4
319,0,0.5740310077519380,0,138,Medium,28.3,4
172,0,0.5746765111173900,2,88,Medium,31.72,0
479,0,0.575,1.25,81,Medium,31.37,0
225,0,0.575,1.5,222,Medium,33.68,2
471,5.56,0.575,2.2,72,Medium,37.72,2
145,0.43,0.5760416666666670,2.2,83,Medium,28.86,1
365,0,0.5763157894736840,3.5,81,Bad,27.5,4
380,6.76,0.5769831326856680,1.2,68,Good,26.7,4
293,0,0.5772727272727270,1.5,89,Good,28.97,3
41,6.87,0.5795449984570340,18,97,Medium,38.46,1
274,5.76,0.5796969696969700,2.6551724137931000,114,Medium,38.83,4
416,3.46,0.5800000000000000,2.6666666666666700,143,Medium,36.72,2
391,2.08,0.5809523809523810,1,106,Medium,31.84,2
371,0,0.5814814814814820,2.5,89,Medium,30.7,2
303,0,0.5822222222222220,1.25,103,Medium,32.31,1
491,0,0.5833333333333330,0,104,Medium,31.61,1
210,0,0.5839506172839510,3.25,109,Good,29.45,2
378,8.06,0.5842592592592590,2,108,Medium,30.78,3
313,0,0.5847222222222220,2,102,Medium,32.87,2
170,0,0.585,5,139,Medium,30.38,4
374,0,0.5858974358974360,5,143,Medium,31.02,3
263,?,0.5858974358974360,14,147,Good,39.97,4
23,1.9,0.5866666666666670,3.4285714285714300,79,Medium,30.25,3
151,0,0.5866666666666670,2,132,Medium,35.02,0
168,0,0.5867424242424240,2,193,Bad,32.12,4
453,1.32,0.5878787878787880,1.5,78,Bad,31.26,3
283,0,0.5880952380952380,4,98,Medium,29.08,0
492,7.89,0.5883333333333330,10,63,Medium,28.91,2
376,0,0.5903508771929820,3.5,72,Medium,26.6,2
311,5.95,0.5905982905982910,1.1724137931034500,110,Medium,30.25,4
481,5.74,0.5921052631578950,1,101,Good,31.5,2
13,6.45,0.5923076923076920,2.6,100,Medium,31.16,1
382,9.09,0.5924242424242420,0,51,Medium,27.21,0
22,6.23,0.5927536231884060,2.8333333333333300,98,Good,31.03,2
183,3.53,0.594047619,2,107,Medium,30.53,1
312,5.82,0.5941176470588240,5.8,2381,Medium,34.29,3
31,0,0.5947368421052630,16,84,Medium,28.35,0
66,0,0.595,1,80,Very Bad,19.15,2
164,0.59,0.5955555555555560,2.25,102,Medium,30.19,1
99,7.5,0.5958333333333330,0,61,Medium,27.95,4
250,2.67,0.5962555974721910,1.5,92,Medium,40.02,0
448,6.47,0.5966666666666670,0,101,Bad,25.03,1
465,0.62,0.5972222222222220,0,128,Medium,34.88,2
414,0,0.6000000000000000,2,78,Very Bad,23.5,4
60,6.07,0.6000000000000000,3.5,85,Medium,28.44,3
70,0,0.6008771929824560,3.6,102,Good,29.91,3
104,0,0.6016666666666670,2.3333333333333300,80,Bad,25.98,4
373,0,0.6016666666666670,1.25,102,Medium,30.02,2
476,0,0.6016666666666670,0,134,Medium,32.72,3
169,0,0.6019479307348040,10,101,Medium,29,0
346,0,0.6019479307348040,10,101,Medium,29,1
50,6.27,0.6021929824561400,2,128,Medium,36.54,3
204,4.92,0.6037878787878790,1.8,76,Good,35.6,2
221,0,0.6047263739883440,2.4680851063829800,159,Medium,32.94,2
270,0,0.6055555555555560,11,60,Medium,27.64,3
267,0,0.6055555555555560,3,135,Medium,31.74,3
497,0,0.6060606060606060,2.4,79,Medium,29.82,2
148,?,0.6071428571428570,1.1111111111111100,69,Medium,28.38,2
273,0,0.6095238095238100,1,176,Very Bad,30.59,4
289,7.33,0.6097222222222220,3.625,129,Good,29,2
475,0,0.61,0,94,Medium,32.21,4
318,0,0.6104166666666670,2.3,134,Medium,32.07,2
184,2.35,0.6104166666666670,9,102,Medium,33.11,1
190,1.58,0.6105691056910570,7,141,Medium,35.01,1
449,4.91,0.6112820512820510,5.071428571428570,136,Good,32.57,4
320,3.77,0.6117283950617280,3.2857142857142900,181,Good,33.62,1
44,7.35,0.611904762,2.6,97,Medium,27.94,3
478,0,0.611904762,1,69,Medium,28.1,3
2,2.04,0.612280702,2,113,Medium,34.56,0
198,0,0.6125,6,151,Medium,37.64,1
316,4.87,0.6126984126984130,6,127,Good,32.28,1
466,1.94,0.6131578947368420,1,73,Medium,30.87,2
212,3.38,0.6137254901960790,3.857142857142860,88,Medium,39.64,2
166,0,0.6143410852713180,2,112,Medium,32.93,0
369,0.26,0.615,3,79,Good,26.85,3
14,0,0.6151515151515150,1,132,Good,29.96,2
238,6.86,0.6155555555555560,3.6666666666666700,107,Good,31.74,4
252,0,0.6160256410256410,0,119,Medium,32.98,0
118,0,0.6166666666666670,2.5,87,Medium,32.87,0
268,0,0.6166666666666670,4.5,172,Medium,36.05,1
7,6.31,0.6179824561403510,2.8461538461538500,114,Good,27.31,2
296,0,0.6192307692307690,7,105,Medium,31.21,0
209,0,0.62,0,134,Medium,34.62,1
284,0,0.62,1,267,Medium,44.12,0
163,5.67,0.6208333333333330,2.6666666666666700,81,Very Bad,23.56,2
176,3.4,0.6214285714285710,5.5,161,Medium,29.11,1
459,7.12,0.6217948717948720,2.25,191,Medium,30.26,0
360,2.47,0.621875,2,120,Medium,31.32,1
265,0,0.6222222222222220,1.2,101,Bad,26.34,2
386,1.67,0.6224306570869050,2.6,179,Very Bad,32.82,4
34,1.13,0.6226190476190480,3.2222222222222200,289,Medium,34.18,2
215,0,0.6229166666666670,1,133,Medium,42.75,0
271,2.55,0.6238095238095240,3.2,124,Medium,34.44,1
220,3.26,0.6245614035087720,2.8,153,Good,35.44,1
236,6.25,0.625,3,122,Medium,29.81,2
28,7.76,0.6254901960784310,4,134,Medium,26.29,2
288,0,0.6259259259259260,3,120,Medium,33.23,1
393,0,0.6263888888888890,1,104,Very Bad,26.55,1
409,2.5,0.6266666666666670,1.4,75,Medium,27.95,4
207,3.1,0.6266666666666670,4,98,Medium,36.9,0
200,2.69,0.6269495322099990,1.25,90,Medium,39.38,2
468,5.71,0.6273809523809520,2,90,Medium,30.79,2
188,7.32,0.6277777777777780,0,82,Medium,29.8,0
26,4.92,0.6282608695652170,3.3636363636363600,103,Medium,30.45,4
486,?,0.6291666666666670,3.3333333333333300,91,Good,28.34,0
85,6.25,0.6293103448275860,2,92,Medium,29.23,3
78,6.69,0.6305555555555560,2,122,Medium,30.59,1
488,0,0.6313926861274700,1.1111111111111100,65,Medium,28,1
65,6,0.631578947,4,85,Good,29.18,4
9,5.18,0.6316666666666670,4.5,98,Medium,29.4,2
155,0,0.6333333333333330,0,46,Medium,26.86,0
405,0,0.6333333333333330,1,87,Medium,29.32,2
177,0,0.6357142857142860,43,116,Medium,30.79,1
345,8.37,0.6364341085271320,7.5,86,Medium,30.19,1
401,5.22,0.6366666666666670,2,139,Medium,30.16,1
229,5.16,0.638095238,3.6,137,Medium,33.7,2
256,1.18,0.6394848118225730,4.5,95,Medium,62.01,4
307,0,0.6398316141631870,1,90,Medium,32.15,2
363,7.04,0.64,4.6,84,Very Bad,22.94,3
258,5,0.64,2.5,104,Medium,30.17,0
375,2.59,0.64,1,72,Medium,30.92,0
10,2.67,0.64,0,244,Medium,35.91,3
82,0.3,0.6413978494623660,1,178,Good,29.5,2
32,1.58,0.6416666666666670,0,107,Very Bad,25.39,4
446,0,0.6416666666666670,5,82,Good,27.44,4
422,0.43,0.6433333333333330,3,106,Very Bad,29.63,4
301,1.18,0.6433333333333330,1,263,Medium,38.55,3
484,4.21,0.6440860215053760,1,120,Good,41.73,3
498,0,0.6444444444444450,3,116,Very Bad,29.32,3
230,0,0.644927536,15.5,120,Medium,38.48,0
16,0,0.6452380952380950,3,84,Medium,30.1,0
30,7.73,0.6461538461538460,6,73,Medium,39.41,2
291,0,0.6493055555555560,1,171,Very Bad,28.16,2
441,1.67,0.65,0,100,Very Bad,26.43,3
53,2.67,0.65,0,77,Medium,28.83,2
191,0,0.65,1.5,94,Medium,29.41,0
473,0,0.65,7,85,Bad,31.34,3
287,8.18,0.6518697867715850,2,75,Medium,25.6,2
206,9.5,0.6526315789473690,4,85,Good,28.27,4
395,0,0.6528517188870960,2,157,Very Bad,32.08,1
439,0,0.653125,2,160,Bad,30.62,1
39,8.51,0.6533333333333330,4.5,94,Medium,28.57,1
117,6,0.6555555555555560,4,91,Medium,30.15,1
195,4.69,0.6571428571428570,8,85,Medium,30.35,3
452,0,0.6575268817204300,2,295,Medium,35.33,0
460,0,0.6583333333333330,1.3333333333333300,84,Very Bad,22.46,4
302,0,0.6583333333333330,1.5,91,Medium,28.42,2
29,7.7,0.6588235294117650,4.75,85,Medium,32.35,1
125,?,0.6614942528735630,15,121,Medium,37.03,0
35,0,0.6625,2.25,46,Very Bad,41.07,4
400,0.87,0.6649631867266480,1,113,Medium,26.62,0
165,6.67,0.666,1.75,128,Very Bad,25.06,0
122,0,0.6680555555555560,1.3,68,Medium,44.85,0
467,0,0.6682291666666670,3.75,166,Medium,45.43,0
322,10,0.6757761839892380,0,92,Good,28.13,0
248,5.38,0.6766666666666670,0,89,Medium,31.75,0
432,2.73,0.6777777777777780,4.5,138,Medium,33.17,4
77,8,0.6804334653091140,0,92,Good,28.23,0
86,8,0.6833333333333330,0,76,Bad,22.02,4
143,0,0.6833333333333330,1,87,Good,33.69,0
223,0,0.6916666666666670,0,91,Bad,23.26,4
48,0,0.6922222222222220,0,73,Good,31.78,1
275,0,0.6930555555555560,4,93,Medium,27.95,0
304,0,0.6979166666666670,0,128,Bad,28.99,0
81,2.5,0.7083333333333330,0,80,Very Bad,34.31,1
389,0,0.7083333333333330,2.3333333333333300,172,Medium,35.84,4
144,5.96,0.7083333333333330,4,192,Good,73.93,1
160,0,0.7166666666666670,2,89,Very Bad,25.08,0
297,4.44,0.7257575757575760,0,127,Bad,28.73,4
205,2.31,0.73,4.5,118,Medium,51.02,4
36,0,0.7333333333333330,0,14996,Medium,1954.62,0
235,0,0.7416666666666670,0,113,Medium,28.67,0
237,0,0.7514984569788790,15,171,Medium,32.19,0
489,0,0.8788739378273450,0,112,Medium,39.62,0
